Requirement ID,Type,Description,Module,Capability,Phase,Verify,Status
FR-001,Functional,Source registry (CRUD tier active status schedule content hash),Discovery Engine,C01,4,Integration,Not Started
FR-002,Functional,Source-specific acquisition (HTML RSS/API doc sitemap),Discovery Engine,C01,4,Integration,Not Started
FR-003,Functional,Continuous ingestion with Saturday six-day reporting boundary,Discovery Engine,C01,4 11,Integration,Not Started
FR-004,Functional,Source tiering by authority (Tier 1–6),Discovery Engine,C01,4,Unit,Not Started
FR-005,Functional,Provenance capture (URL retrieved_at version hash) on every finding,Discovery Engine,C01,4,Contract,Not Started
FR-006,Functional,Change gating — skip unchanged content before expensive analysis,Change Detection,C01,5,Integration,Not Started
FR-007,Functional,Crawler policy compliance (robots.txt terms rate limits auth boundaries),Discovery Engine,C01,4,Security,Not Started
FR-008,Functional,Versioned snapshots (policy-compliant storage + normalized snapshot),Evidence Engine,C02,5,Integration,Not Started
FR-009,Functional,Lexical and semantic diff generation between versions,Change Detection,C02,5,Integration,Not Started
FR-010,Functional,Change classification (7 classes: new enhancement clarification deprecation architecture event no-meaningful),Change Detection,C02,5,Eval,Not Started
FR-011,Functional,Evidence confidence scoring (authority recency corroboration specificity),Evidence Engine,C02,5,Unit,Not Started
FR-012,Functional,Canonical finding merge — dedup ≥ 90% for multi-source coverage,Evidence Engine,C02,5,Eval,Not Started
FR-013,Functional,Fact labeling (confirmed / inferred / speculative) on every promoted fact,Evidence Engine,C02,5,Contract,Not Started
FR-014,Functional,Evidence trail for every priority finding (source version + locator),Evidence Engine,C02,5,Contract,Not Started
FR-015,Functional,Automation pattern extraction (process area products trigger inputs decisions workflow human outcome),Automation Intelligence,C03,6,Eval,Not Started
FR-016,Functional,Automation-type classification (workflow RPA document API event-driven AI-assisted agentic predictive custom),Automation Intelligence,C03,6,Eval,Not Started
FR-017,Functional,Business problem and pre-automation process capture,Automation Intelligence,C03,6,Contract,Not Started
FR-018,Functional,Benefits recorded only when stated; inferred benefits flagged explicitly,Automation Intelligence,C03,6,Contract,Not Started
FR-019,Functional,Taxonomy mapping across FI/CO SD MM PP QM PM EWM TM PS PLM MDG GRC Treasury CRM HCM procurement industries,Automation Intelligence,C03,6,Unit,Not Started
FR-020,Functional,Canonical automation IDs assigned with temporal lineage,Automation Intelligence,C03,6,Contract,Not Started
FR-021,Functional,Architectural flow extraction (trigger→data→processing→AI→decision→workflow→API/event→target→monitoring),Architecture Reconstruction,C04,7,Eval,Not Started
FR-022,Functional,Technology identification (S/4HANA BTP Integration Suite APIs Event Mesh Build Process Automation AI Data Cloud Datasphere HANA Cloud ALM),Architecture Reconstruction,C04,7,Eval,Not Started
FR-023,Functional,Confirmed vs inferred component separation,Architecture Reconstruction,C04,7,Contract,Not Started
FR-024,Functional,Logical architecture diagram and text summary generation,Architecture Reconstruction,C04,7,E2E,Not Started
FR-025,Functional,Integration-pattern identification (sync API async event batch workflow document agent),Architecture Reconstruction,C04,7,Unit,Not Started
FR-026,Functional,Human-in-the-loop capture (controls approvals exception paths),Architecture Reconstruction,C04,7,Contract,Not Started
FR-027,Functional,Validation flags (security audit resilience observability data-governance),Architecture Reconstruction,C04,7,Unit,Not Started
FR-028,Functional,Gap classification (standard configurable extensible partner-provided genuinely missing),Opportunity Engine,C05,8,Eval,Not Started
FR-029,Functional,Customer process pain and manual effort mapping,Opportunity Engine,C05,8,Contract,Not Started
